SampleID,CHO,CHON,CHONP,CHONS,CHONSP,CHOP,CHOS,CHOSP
Kelly_01,88.39,2.2,0.91,0.09,4.31,3.11,1.0,
Kelly_02,86.37,2.66,1.16,0.11,5.09,3.32,1.27,0.03
Kelly_03,90.55,1.5,0.82,0.14,4.13,1.86,0.95,0.05
Kelly_04,88.45,2.15,1.08,0.1,3.92,3.2,1.11,
Kelly_05,87.83,2.21,0.95,0.11,4.96,2.98,0.97,
Kelly_06,87.82,2.71,1.13,0.07,3.74,3.23,1.3,
Kelly_07,88.64,2.24,1.02,0.07,3.79,3.16,1.09,
Kelly_08,87.8,2.19,1.03,0.06,4.32,3.32,1.26,
Kelly_09,88.67,2.13,0.94,0.06,4.17,2.82,1.19,
Kelly_10,87.32,2.43,0.95,0.11,5.33,2.72,1.13,0.03
Kelly_100,75.52,17.29,0.8,0.19,3.21,1.92,1.05,0.02
Kelly_101,79.48,13.69,0.89,0.28,3.68,1.26,0.7,0.02
Kelly_102,76.4,17.47,0.67,0.2,3.11,1.41,0.72,0.02
Kelly_103,81.18,12.93,0.47,0.15,3.94,0.67,0.6,0.04
Kelly_104,80.13,13.42,0.68,0.16,3.73,0.84,1.02,0.02
Kelly_105,77.85,16.4,0.5,0.17,3.32,0.89,0.87,
Kelly_106,79.65,13.95,0.55,0.14,3.6,1.16,0.96,
Kelly_107,79.58,14.21,0.6,0.13,3.15,1.35,0.98,
Kelly_108,75.18,19.61,0.55,0.13,2.54,1.4,0.59,
Kelly_109,82.61,11.2,0.45,0.16,2.98,1.5,1.1,
Kelly_11,85.74,2.6,1.11,0.19,3.1,3.52,3.71,0.03
Kelly_110,86.78,4.8,0.44,0.04,2.61,4.68,0.6,0.06
Kelly_111,88.88,3.22,0.63,0.02,1.92,4.6,0.67,0.07
Kelly_112,86.64,6.48,0.37,0.04,2.71,3.0,0.77,
Kelly_113,85.97,5.36,0.15,,3.13,4.18,1.2,
Kelly_114,89.86,2.65,0.51,0.04,1.8,4.46,0.65,0.02
Kelly_115,89.13,4.09,0.23,,2.57,3.32,0.66,
Kelly_116,86.66,6.76,0.99,0.61,2.04,1.77,1.13,0.03
Kelly_117,85.26,7.47,0.95,0.64,2.12,2.35,1.15,0.05
Kelly_118,85.39,6.86,0.83,0.41,3.11,1.93,1.46,
Kelly_119,83.04,9.88,0.97,0.61,2.92,1.47,1.11,
Kelly_12,82.75,3.42,1.3,0.08,3.39,4.83,4.23,
Kelly_120,86.79,7.24,0.82,0.59,2.4,0.99,1.18,
Kelly_121,84.64,8.52,0.85,0.4,3.24,1.22,1.11,0.03
Kelly_122,80.92,9.82,0.47,0.18,2.71,4.89,1.0,
Kelly_123,87.64,5.66,0.82,0.46,1.13,3.26,0.96,0.07
Kelly_124,85.99,8.12,0.62,0.24,1.62,2.1,1.31,
Kelly_125,78.09,11.46,0.36,0.04,3.67,4.6,1.78,
Kelly_126,81.11,12.37,0.68,0.18,1.79,2.85,1.01,0.02
Kelly_127,81.62,10.57,0.32,0.12,3.62,2.98,0.74,0.02
Kelly_128,86.4,5.24,1.06,0.43,2.69,1.95,2.16,0.07
Kelly_129,86.83,4.24,0.77,0.42,1.96,2.09,3.6,0.08
Kelly_13,84.5,2.84,1.04,0.12,3.52,4.97,3.01,
Kelly_130,83.94,9.2,1.2,0.76,2.75,1.02,1.02,0.1
Kelly_131,86.37,7.52,1.01,0.71,2.53,0.73,1.04,0.08
Kelly_132,84.57,9.0,1.03,0.5,2.94,0.85,1.08,0.03
Kelly_133,86.01,7.88,1.29,0.73,2.37,0.67,1.0,0.05
