SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Kelly_01,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,1,2.4143509017600618e-05
Kelly_01,Abiotic,Acetylation_(-H),C2H3O2,1,2.4143509017600618e-05
Kelly_01,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,1,2.4143509017600618e-05
Kelly_01,Abiotic,Acetone_(-H),C3H5O,2,4.828701803520124e-05
Kelly_01,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,2,4.828701803520124e-05
Kelly_01,Abiotic,Biotinyl_(-H),C10H15N2O3S,2,4.828701803520124e-05
Kelly_01,Abiotic,Isoprene_addition_(-H),C5H7,3,7.243052705280186e-05
Kelly_01,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,3,7.243052705280186e-05
Kelly_01,Amino Acid,Histidine_(-H2O),C6H7N3O,3,7.243052705280186e-05
Kelly_01,Other,Diphosphate,H3O6P2,4,9.657403607040248e-05
Kelly_01,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,5,0.000120717545088
Kelly_01,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,7,0.0001690045631232
Kelly_01,Amino Acid,Methionine_(-H2O),C5H9NOS,7,0.0001690045631232
Kelly_01,Amino Acid,Cysteine_(-H2O),C3H5NOS,8,0.0001931480721408
Kelly_01,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,9,0.0002172915811584
Kelly_01,Other,Alliin,C6H11NO3S,11,0.0002655785991936
Kelly_01,Amino Acid,Uridine_(-H2O),C9H10N2O5,12,0.0002897221082112
Kelly_01,Abiotic,GSH_Conjugation_1,C10H15N3O6S,12,0.0002897221082112
Kelly_01,Abiotic,GSH_Conjugation_2,C10H17N3O6S,12,0.0002897221082112
Kelly_01,Other,Phytochelatin,C10H16N3O6S-,13,0.0003138656172288
Kelly_01,Amino Acid,Thymidine_(-H2O),C10H12N2O4,14,0.0003380091262464
Kelly_01,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,14,0.0003380091262464
Kelly_01,Amino Acid,Adenosine_(-H2O),C10H11N5O3,15,0.000362152635264
Kelly_01,Abiotic,Pyrophosphate,PP,16,0.0003862961442816
Kelly_01,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,16,0.0003862961442816
Kelly_01,Other,Taurine_Conjugation_(-OH),C2H6NO3S,17,0.0004104396532992
Kelly_01,Amino Acid,Isoleucine_(-H2O),C6H11NO,18,0.0004345831623168
Kelly_01,Amino Acid,Leucine_(-H2O),C6H11NO,18,0.0004345831623168
Kelly_01,Amino Acid,Tyrosine_(-H2O),C9H9NO2,21,0.0005070136893696
Kelly_01,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,21,0.0005070136893696
Kelly_01,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,21,0.0005070136893696
Kelly_01,Amino Acid,Phenylalanine_(-H2O),C9H9NO,21,0.0005070136893696
Kelly_01,Amino Acid,Guanosine_(-H2O),C10H11N5O4,22,0.0005311571983872
Kelly_01,Amino Acid,Guanine_(-H),C5H4N5O,22,0.0005311571983872
Kelly_01,Amino Acid,Cytosine_(-H),C4H4N3O,23,0.0005553007074048
Kelly_01,Amino Acid,Adenine_(-H),C5H4N5,23,0.0005553007074048
Kelly_01,Amino Acid,Lysine_(-H2O),C6H12N2O,25,0.00060358772544
Kelly_01,Amino Acid,Valine_(-H2O),C5H9NO,26,0.0006277312344576
Kelly_01,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,26,0.0006277312344576
Kelly_01,Other,Ornitine_Conjugation_(-OH),C5H11N2O2,30,0.000724305270528
Kelly_01,Abiotic,Inorganic_Phosphate,P,31,0.0007484487795456
Kelly_01,Amino Acid,Cystine_(-H2O),C6H10N2O3S2,31,0.0007484487795456
Kelly_01,Other,O-Acetylserine,C5H9NO4,32,0.0007725922885632
Kelly_01,Amino Acid,Glutamine_(-H2O)/Glutamine_Conjugation_(-OH),C5H8N2O2_C5H9N2O3,32,0.0007725922885632
Kelly_01,Amino Acid,Asparagine_(-H2O),C4H6N2O2,33,0.0007967357975808
Kelly_01,Abiotic,Oxidative_Deamination_to_Ketone_(-H3N),O,34,0.0008208793065984
Kelly_01,Amino Acid,Threonine_(-H2O),C4H7NO2,35,0.000845022815616
Kelly_01,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,35,0.000845022815616
Kelly_01,Abiotic,Reductive_Debromination_(-Br),H,37,0.0008933098336512
Kelly_01,Amino Acid,Serine_(-H2O),C3H5NO2,37,0.0008933098336512
Kelly_01,Amino Acid,Proline_(-H2O),C5H7NO,38,0.0009174533426688
Kelly_01,Amino Acid,Alanine_(-H2O),C3H5NO,39,0.0009415968516864
Kelly_01,Amino Acid,Glutamic_Acid_(-H2O),C5H7NO3,39,0.0009415968516864
