SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Kelly_100,3.8,11.03,11.94,43.08,1.11,0.41,7.69,20.81,0.13
Kelly_101,4.53,10.66,12.29,44.13,1.33,0.26,8.05,18.62,0.13
Kelly_102,3.96,10.42,13.09,45.41,0.94,0.26,7.23,18.55,0.13
Kelly_103,3.24,9.38,15.03,46.19,0.52,0.22,5.29,20.04,0.09
Kelly_134,4.71,12.11,12.32,42.5,0.86,0.26,7.75,19.28,0.21
Kelly_135,3.36,10.75,14.16,45.34,0.82,0.23,5.7,19.48,0.16
Kelly_136,4.57,10.66,13.45,43.64,0.74,0.3,6.65,19.88,0.11
Kelly_137,5.09,11.59,12.45,42.77,0.67,0.26,6.75,20.26,0.15
Kelly_138,3.84,10.27,14.74,44.98,0.59,0.28,5.77,19.4,0.13
Kelly_139,4.38,10.18,13.99,44.71,0.76,0.36,6.2,19.31,0.11
Kelly_21,9.58,17.57,3.67,36.24,3.1,0.04,21.04,8.56,0.2
Kelly_22,7.86,15.68,5.54,41.17,2.97,0.03,16.83,9.74,0.19
Kelly_23,7.7,14.45,4.54,41.88,4.07,0.03,18.92,8.23,0.19
Kelly_24,6.78,14.04,6.78,42.64,2.99,0.03,16.11,10.52,0.11
Kelly_25,7.49,15.57,5.54,42.89,1.99,0.06,15.78,10.49,0.18
Kelly_26,7.79,15.7,5.17,42.53,2.27,0.06,16.77,9.58,0.13
Kelly_27,6.85,16.41,5.98,41.85,2.26,0.03,15.29,11.12,0.21
Kelly_28,7.52,15.29,6.35,40.35,2.81,0.06,16.9,10.58,0.13
Kelly_29,9.16,16.83,4.33,38.0,2.88,0.07,19.18,9.34,0.21
Kelly_30,8.82,16.11,4.61,39.18,2.56,0.03,18.52,9.95,0.22
Kelly_68,4.46,8.06,12.17,48.47,1.9,0.17,10.73,13.95,0.1
Kelly_69,4.47,9.5,13.0,46.86,1.41,0.24,9.48,14.87,0.15
Kelly_70,3.88,8.5,10.79,50.24,2.29,0.21,10.85,13.18,0.08
Kelly_71,3.76,7.26,13.88,48.12,1.31,0.32,8.12,17.16,0.08
Kelly_72,3.69,8.64,13.5,48.07,1.31,0.24,8.81,15.67,0.09
Kelly_73,3.46,7.71,14.61,49.46,1.3,0.22,8.34,14.81,0.1
Kelly_98,4.95,10.58,13.33,42.86,1.05,0.29,8.42,18.33,0.18
Kelly_99,4.2,10.26,12.96,45.67,1.15,0.3,7.8,17.56,0.11
