SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Kelly_01,11.36,13.1,0.97,45.72,1.09,0.09,19.0,8.29,0.38
Kelly_02,11.23,12.96,1.22,45.65,1.41,0.03,18.87,8.01,0.61
Kelly_03,13.07,13.94,0.74,45.88,0.78,0.05,16.43,8.84,0.28
Kelly_04,12.53,14.11,0.92,43.93,0.79,0.07,18.64,8.6,0.43
Kelly_05,11.27,12.98,1.07,46.3,1.18,0.03,18.9,7.86,0.4
Kelly_06,12.75,14.96,1.07,43.23,0.69,0.03,17.89,8.93,0.45
Kelly_07,12.51,14.23,0.93,44.06,1.03,0.07,18.28,8.53,0.36
Kelly_08,12.19,14.27,1.07,44.07,0.88,0.1,18.61,8.4,0.42
Kelly_09,11.9,13.92,0.98,45.09,0.92,0.09,18.59,8.17,0.35
Kelly_10,10.79,12.18,1.15,46.98,1.55,0.05,19.15,7.69,0.45
Kelly_122,6.1,11.35,8.46,44.94,1.93,0.44,13.87,12.64,0.28
Kelly_123,6.22,15.07,11.3,38.55,1.01,0.54,10.16,17.09,0.05
Kelly_124,5.71,12.52,11.86,44.02,1.02,0.39,8.77,15.61,0.1
Kelly_125,6.01,8.49,8.93,49.23,1.4,0.14,11.81,13.71,0.28
Kelly_126,6.32,12.01,11.26,44.62,1.12,0.42,9.42,14.74,0.09
Kelly_127,5.12,8.13,10.01,50.63,1.88,0.2,11.2,12.65,0.18
Kelly_62,7.59,10.15,6.67,42.74,3.28,0.29,17.61,11.29,0.39
Kelly_63,8.57,12.69,3.87,39.92,4.92,0.2,21.35,7.99,0.5
Kelly_64,6.63,7.79,5.53,45.15,6.02,0.06,20.06,8.17,0.57
Kelly_65,8.03,10.06,4.9,45.36,3.45,0.1,17.96,9.63,0.5
Kelly_66,6.62,10.92,5.39,42.65,5.59,0.15,19.6,8.62,0.47
Kelly_67,7.59,10.51,5.87,44.16,3.1,0.26,17.21,10.85,0.45
Kelly_86,6.81,10.64,6.34,43.84,3.56,0.25,17.51,10.47,0.59
Kelly_87,6.85,12.96,7.82,41.07,2.31,0.44,15.27,12.94,0.34
Kelly_88,6.54,10.04,6.43,47.96,3.2,0.14,16.04,9.08,0.57
Kelly_89,6.65,8.42,4.89,48.1,4.87,0.06,19.04,7.33,0.64
Kelly_90,6.8,10.94,6.44,46.25,3.22,0.08,17.23,8.49,0.55
Kelly_91,6.1,8.08,5.38,48.23,5.66,0.04,19.84,6.03,0.64
