SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Kelly_11,9.93,11.87,3.35,43.4,3.71,0.08,19.13,8.05,0.48
Kelly_12,10.89,13.82,3.57,41.94,2.3,0.08,17.52,9.3,0.58
Kelly_128,6.43,13.09,11.63,40.16,1.68,0.56,10.03,16.24,0.19
Kelly_129,6.95,13.53,11.78,39.56,1.4,0.46,10.28,15.94,0.11
Kelly_13,10.32,12.98,4.36,42.41,2.68,0.12,17.83,8.84,0.44
Kelly_130,3.3,13.19,15.62,39.18,1.08,0.62,5.96,20.91,0.13
Kelly_131,3.59,12.41,17.32,38.12,0.8,0.77,5.5,21.39,0.1
Kelly_132,3.91,13.02,15.39,39.47,1.17,0.51,6.69,19.66,0.18
Kelly_133,2.76,12.96,19.24,37.71,0.63,0.74,4.8,21.06,0.11
Kelly_14,9.33,13.24,4.4,43.9,2.82,0.17,17.7,8.2,0.25
Kelly_15,9.93,12.57,3.73,43.79,2.54,0.08,17.84,8.99,0.53
Kelly_16,9.56,13.77,6.6,41.71,1.45,0.22,16.04,10.25,0.39
Kelly_17,8.79,11.69,4.77,45.21,3.33,0.15,18.02,7.69,0.36
Kelly_18,10.18,12.18,4.52,43.44,2.39,0.15,17.38,9.39,0.38
Kelly_19,10.98,12.81,3.64,42.46,2.37,0.19,17.48,9.58,0.49
Kelly_20,10.6,12.62,3.51,41.78,2.9,0.16,18.42,9.57,0.45
Kelly_92,7.64,14.72,9.87,39.2,1.52,0.21,12.35,14.33,0.15
Kelly_93,7.31,12.78,11.69,39.14,1.55,0.41,11.59,15.35,0.17
Kelly_94,4.42,12.94,14.77,38.97,1.09,0.62,7.2,19.86,0.14
Kelly_95,4.82,11.93,13.96,40.62,1.13,0.62,7.78,19.04,0.09
Kelly_96,5.7,12.84,14.03,39.44,1.19,0.5,7.87,18.37,0.05
Kelly_97,3.4,13.46,17.25,37.83,0.86,0.7,6.03,20.37,0.1
