SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Kelly_104,4.36,10.8,13.97,44.31,0.53,0.28,6.2,19.41,0.14
Kelly_105,3.66,9.83,14.33,46.65,0.66,0.26,6.03,18.5,0.07
Kelly_106,3.8,10.63,14.41,44.57,0.55,0.34,6.16,19.42,0.11
Kelly_107,4.91,10.48,13.47,44.14,0.9,0.3,7.34,18.33,0.13
Kelly_108,3.55,9.3,13.37,49.94,0.87,0.11,7.28,15.5,0.07
Kelly_109,4.57,11.34,13.79,42.85,0.57,0.33,6.98,19.47,0.12
Kelly_140,4.52,10.86,13.45,44.35,0.76,0.28,7.2,18.47,0.11
Kelly_141,3.16,10.31,14.54,47.03,0.73,0.32,5.59,18.19,0.12
Kelly_142,3.56,9.63,15.23,45.92,0.57,0.35,5.41,19.19,0.13
Kelly_143,5.39,10.48,10.98,45.29,0.66,0.31,8.4,18.46,0.04
Kelly_144,4.65,10.93,13.86,45.22,0.69,0.32,6.28,17.91,0.14
Kelly_145,4.55,9.82,15.32,45.07,0.67,0.32,5.89,18.24,0.11
Kelly_31,6.87,13.36,7.84,43.74,2.01,0.08,14.99,11.02,0.1
Kelly_32,6.59,12.77,8.04,44.58,2.02,0.13,14.25,11.48,0.13
Kelly_33,7.51,15.02,6.44,42.73,1.81,0.09,15.41,10.93,0.06
Kelly_34,7.61,14.33,6.2,43.3,2.54,0.03,16.63,9.28,0.09
Kelly_35,7.66,15.03,6.45,41.74,2.35,0.03,16.8,9.85,0.1
Kelly_36,6.62,13.87,7.53,44.17,1.92,0.08,15.28,10.37,0.17
Kelly_37,6.77,14.02,8.56,43.26,1.74,0.13,14.07,11.34,0.1
Kelly_38,6.97,14.61,7.86,42.09,1.91,0.11,15.08,11.21,0.17
Kelly_39,6.89,13.03,7.95,44.1,2.12,0.05,14.68,11.06,0.12
Kelly_40,6.86,14.48,7.53,42.42,1.7,0.06,15.6,11.16,0.2
Kelly_41,6.99,14.16,7.74,43.18,2.0,0.05,14.49,11.28,0.1
Kelly_74,4.73,7.9,11.34,48.73,2.03,0.2,11.62,13.35,0.08
Kelly_75,3.89,8.71,13.13,48.63,1.47,0.22,8.33,15.53,0.09
Kelly_76,3.16,6.92,13.06,51.75,2.33,0.15,9.77,12.82,0.04
Kelly_77,3.67,8.39,14.38,46.49,0.97,0.41,6.82,18.81,0.06
Kelly_78,3.17,7.72,14.49,49.87,1.16,0.29,7.3,15.96,0.04
Kelly_79,4.52,7.73,13.45,47.35,1.63,0.24,10.0,15.02,0.06
