SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Kelly_110,7.58,9.4,4.59,43.06,7.06,0.1,21.11,6.84,0.26
Kelly_111,7.82,9.71,3.0,42.35,9.46,0.09,23.34,4.03,0.2
Kelly_112,6.78,7.76,5.63,45.3,6.39,0.04,20.38,7.46,0.25
Kelly_113,6.87,7.12,5.0,45.33,7.22,0.06,20.76,7.3,0.35
Kelly_114,7.4,9.98,4.57,42.59,7.6,0.09,21.41,6.21,0.16
Kelly_115,6.46,7.08,3.98,45.85,8.92,0.04,22.35,5.05,0.28
Kelly_146,7.11,10.62,7.33,43.48,3.12,0.16,17.23,10.82,0.12
Kelly_147,8.19,13.43,5.79,39.08,4.59,0.11,18.39,10.29,0.13
Kelly_148,6.68,10.08,8.58,46.14,1.9,0.06,14.06,12.42,0.08
Kelly_149,5.83,6.32,8.22,51.4,2.77,0.04,14.6,10.59,0.22
Kelly_150,6.38,9.83,6.86,47.31,3.1,0.08,16.33,9.99,0.12
Kelly_151,5.84,9.22,8.41,48.92,2.31,0.08,14.67,10.41,0.15
Kelly_42,11.55,12.94,1.43,39.67,1.7,0.22,19.35,12.37,0.77
Kelly_43,11.69,13.24,1.08,39.25,2.0,0.2,19.72,12.08,0.74
Kelly_44,11.16,11.97,1.57,39.88,2.29,0.19,19.89,12.21,0.83
Kelly_45,11.81,12.65,1.54,38.97,1.91,0.2,20.17,11.96,0.79
Kelly_46,10.95,12.12,1.4,39.94,2.14,0.19,20.4,12.19,0.67
Kelly_47,11.17,12.31,1.52,40.24,1.86,0.19,19.95,11.9,0.85
Kelly_48,11.19,11.91,1.53,40.65,2.01,0.24,19.73,12.01,0.73
Kelly_49,11.0,12.08,1.59,40.15,2.29,0.24,19.94,11.98,0.72
Kelly_50,11.29,12.67,1.35,39.72,1.91,0.24,19.71,12.38,0.73
Kelly_51,11.35,13.07,1.17,38.97,2.17,0.19,19.91,12.45,0.72
Kelly_80,7.37,7.56,3.16,43.83,9.07,0.11,22.56,5.83,0.5
Kelly_81,7.29,8.03,2.48,44.34,9.33,0.06,23.29,4.69,0.48
Kelly_82,7.27,6.83,1.93,44.64,10.71,0.06,24.13,3.84,0.58
Kelly_83,6.99,6.33,2.27,46.02,10.43,0.02,23.81,3.52,0.6
Kelly_84,7.65,7.59,3.16,43.9,9.98,0.06,23.41,3.73,0.51
Kelly_85,7.52,8.37,2.44,43.45,9.84,0.06,23.32,4.58,0.44
