SampleID,Amino sugar,Carbohydrate,Condensed hydrocarbon,Lignin,Lipid,Other,Protein,Tannin,Unsaturated hydrocarbon
Kelly_116,3.37,12.92,19.13,35.14,0.64,0.84,6.93,20.77,0.25
Kelly_117,3.47,12.09,17.57,36.54,0.94,0.76,7.66,20.72,0.26
Kelly_118,3.38,13.01,19.49,35.94,0.47,0.7,5.89,20.92,0.2
Kelly_119,2.59,14.06,22.0,33.42,0.31,0.82,3.49,23.09,0.23
Kelly_120,2.45,12.35,20.01,36.98,0.6,0.74,5.24,21.43,0.2
Kelly_121,2.34,13.35,22.2,34.78,0.29,0.78,3.34,22.78,0.14
Kelly_152,3.73,13.46,16.07,38.06,1.46,0.4,8.75,17.74,0.32
Kelly_153,3.53,11.56,16.78,39.28,0.97,0.53,7.9,19.23,0.21
Kelly_154,2.52,12.47,19.65,38.69,0.55,0.53,4.6,20.81,0.17
Kelly_155,3.1,12.6,19.09,38.34,0.65,0.59,5.12,20.38,0.13
Kelly_156,2.23,12.12,20.76,37.8,0.68,0.56,4.66,21.02,0.17
Kelly_157,2.7,12.47,20.17,38.58,0.59,0.56,4.65,20.06,0.21
Kelly_52,8.9,12.46,6.92,42.62,1.79,0.24,16.62,10.09,0.36
Kelly_53,8.59,11.79,7.14,43.33,1.94,0.26,16.96,9.63,0.36
Kelly_54,8.55,12.35,5.97,43.75,2.02,0.19,17.37,9.45,0.34
Kelly_55,9.34,13.33,6.45,42.1,1.27,0.27,16.23,10.68,0.32
Kelly_56,9.51,13.24,6.36,42.25,1.33,0.2,16.21,10.59,0.32
Kelly_57,9.41,13.89,7.07,41.37,0.86,0.28,15.4,11.42,0.3
Kelly_58,9.71,13.81,6.53,41.41,0.98,0.28,15.93,10.87,0.46
Kelly_59,9.34,13.27,6.66,42.37,1.35,0.23,16.08,10.29,0.4
Kelly_60,9.42,13.35,6.66,41.46,1.28,0.3,16.2,10.92,0.42
Kelly_61,8.92,12.57,6.84,43.02,1.61,0.25,16.18,10.31,0.3
