Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolecularFormula,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Kelly_104,Kelly_105,Kelly_106,Kelly_107,Kelly_108,Kelly_109,Kelly_140,Kelly_141,Kelly_142,Kelly_143,Kelly_144,Kelly_145,Kelly_31,Kelly_32,Kelly_33,Kelly_34,Kelly_35,Kelly_36,Kelly_37,Kelly_38,Kelly_39,Kelly_40,Kelly_41,Kelly_74,Kelly_75,Kelly_76,Kelly_77,Kelly_78,Kelly_79
151.040030285714,8.0,8.0,3.0,0.0,0,0.0,0.0,0,CHO,Lignin,152.047306752594,0.245782095388162,1,C8H8O3,0.375,1.0,-0.25,67.425,5.0,2.0,0.4,0.5384615384615384,2.0,3245190.8,1617170.1,3642252.0,3488755.3,1713176.9,2364557.3,1018865.6,1691857.5,0.0,0.0,1094087.3,1142561.9,3678574.0,2578978.0,2643183.5,3899343.5,3184233.5,2188427.0,2293008.3,2396529.8,5766163.0,2180565.3,8163879.0,4120817.0,2331933.5,3054000.0,3446434.8,1851157.8,2098240.8
153.019317630137,7.0,6.0,4.0,0.0,0,0.0,0.0,0,CHO,Lignin,154.026594097017,0.0946848375808869,1,C7H6O4,0.5714285714285714,0.8571428571428571,0.2857142857142856,52.15714285714286,5.0,,0.3333333333333333,0.6,,1631304.3,1877842.0,1534872.3,2038758.9,1810085.3,0.0,1220000.8,1246922.4,1678121.1,3162483.0,1381583.8,2262381.5,1561396.3,1164070.3,0.0,1278428.4,1359426.8,1268943.4,1605611.0,1236908.3,2013907.4,1159590.3,1829704.9,1602164.3,1403064.8,2177582.3,1588819.9,1716085.6,1620093.1
154.014559615385,6.0,5.0,4.0,1.0,0,0.0,0.0,0,CHON,Tannin,155.021836082265,0.139153527701145,1,C6H5O4N,0.6666666666666666,0.8333333333333334,1.0,31.799999999999997,5.0,,0.0,0.6666666666666666,0.0,1006901.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995675.3,0.0,1026866.1,0.0,0.0,0.0,916292.6,0.0,0.0,0.0,939367.4,0.0,0.0,865988.8,1059384.4,1015969.7,0.0,866773.3,0.0,979849.3,955507.8
154.998608314815,6.0,4.0,5.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,156.005884781695,-0.0739894830402111,1,C6H4O5,0.8333333333333334,0.6666666666666666,1.0,31.799999999999997,5.0,0.0,0.0,0.7142857142857143,0.0,0.0,1550345.0,0.0,1353054.5,1488020.1,1371053.9,1141985.0,1551400.8,0.0,1304945.9,1323169.6,972611.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019429.6,1550686.6,1683264.0,1316971.9,3033626.0,2137614.8,1651826.5
163.024769755556,5.0,8.0,6.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,164.032046222436,0.254626857579109,1,C5H8O6,1.2,1.6,0.7999999999999998,37.5,2.0,-4.0,4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276393.3,2454613.5,1912290.3,1477827.6,0.0,1773433.5,2112298.0,2383056.3,0.0,2044686.4,2703804.0,0.0,0.0,0.0,0.0,0.0,0.0
163.040021407407,9.0,8.0,3.0,0.0,0,0.0,0.0,0,CHO,Lignin,164.047297874287,0.281923647074738,1,C9H8O3,0.3333333333333333,0.8888888888888888,-0.22222222222222232,66.63333333333333,6.0,3.0,0.5,0.6,3.0,993029.5,1883218.1,1191469.5,1697130.5,1833095.4,1443967.0,891735.7,1817072.5,1245863.9,0.0,1392141.3,1074485.8,1392232.5,986724.9,0.0,0.0,0.0,1172768.8,1110313.4,0.0,1176257.0,1222701.6,1623731.4,1551947.3,1885575.5,1628846.5,1389920.5,2202687.5,1775540.5
165.019305657407,8.0,6.0,4.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,166.026582124287,0.159954582406635,1,C8H6O4,0.5,0.75,0.25,53.175,6.0,2.0,0.5,0.6666666666666666,2.0,3088642.0,3206600.3,3048549.3,3556420.3,2879715.8,2509418.5,2301613.5,2836421.3,3161238.0,1668488.5,2517018.0,2393939.5,2276477.8,0.0,1184318.4,0.0,0.0,1642335.4,2035594.4,0.0,0.0,0.0,2012882.0,3014151.3,2969420.5,2771757.0,2798012.8,3892791.3,3077905.8
165.040430821782,5.0,10.0,6.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,166.047707288662,0.185277703228658,1,C5H10O6,1.2,2.0,0.3999999999999999,48.9,,-5.0,5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6601997.0,4629457.0,5675766.0,5241615.0,4780258.0,6645806.5,6818633.5,6317493.0,6596005.0,5929123.5,7555729.5,0.0,0.0,0.0,0.0,0.0,0.0
165.055689627451,9.0,10.0,3.0,0.0,0,0.0,0.0,0,CHO,Lignin,166.062966094331,0.169170584891526,1,C9H10O3,0.3333333333333333,1.1111111111111112,-0.44444444444444464,72.96666666666667,5.0,2.0,0.3333333333333333,0.4666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963800.9,0.0,1446380.8,1078412.4,0.0,0.0,932337.8,0.0,931989.3,0.0,1403492.8,1259771.3,1107592.9,0.0,0.0,1218467.9,0.0,953226.3,851280.6
167.034969478873,8.0,8.0,4.0,0.0,0,0.0,0.0,0,CHO,Lignin,168.042245945753,0.0761680293548795,1,C8H8O4,0.5,1.0,0.0,60.3,5.0,,0.25,0.5,,2336338.0,1919385.0,2551588.5,2021895.4,2246291.5,1856057.6,1362846.3,1526277.4,1641270.9,1174352.6,1655994.1,1508828.0,2026014.3,1956721.5,1687686.4,1776159.9,1737380.6,1631328.5,1887277.0,1667838.5,2263270.0,1194861.5,2609475.3,2757446.8,1789948.8,2092846.0,2015020.4,2239433.3,1818929.9
169.01423276,7.0,6.0,5.0,0.0,0,0.0,0.0,0,CHO,Tannin,170.02150922688,0.0827908186721141,1,C7H6O5,0.7142857142857143,0.8571428571428571,0.5714285714285716,44.014285714285705,5.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,960136.3,0.0,0.0,0.0,0.0,1131349.6,1042390.9,0.0,885795.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428442.8,0.0,964808.3,0.0,0.0,0.0,0.0,0.0,951062.8
169.087007085714,9.0,14.0,3.0,0.0,0,0.0,0.0,0,CHO,Protein,170.094283552594,0.0632772926772796,1,C9H14O3,0.3333333333333333,1.5555555555555556,-0.8888888888888893,85.63333333333334,3.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965291.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992443.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930143.2
