SampleID,Pickup_t,Count,Mass_183.1026521,Mass_197.1183194,Mass_199.1339588,Mass_243.1965089,Mass_253.1445333,Mass_255.2329278,Mass_257.1758332,Mass_267.1601747,Mass_267.1965945,Mass_269.2122161,Mass_271.191473,Mass_281.175899,Mass_281.2486117,Mass_283.1915152,Mass_283.264296,Mass_285.1261731,Mass_285.2071429,Mass_287.2227862,Mass_293.1758729,Mass_293.1792162,Mass_293.2122459,Mass_295.1914511,Mass_295.2278742,Mass_297.1530078,Mass_297.2435388,Mass_307.1915246,Mass_309.1707892,Mass_309.2071434,Mass_311.1686306,Mass_311.1864054,Mass_311.2227721,Mass_313.2020664,Mass_313.2384194,Mass_315.2177096,Mass_315.254074,Mass_321.2071193,Mass_323.1863594,Mass_325.1843152,Mass_325.2020715,Mass_327.2176835,Mass_329.2333148,Mass_331.2490092,Mass_333.2071556,Mass_335.2228007,Mass_337.202014,Mass_339.1999671,Mass_339.2176537,Mass_339.3268307,Mass_341.2333125,Mass_343.2489831,Mass_349.2020231,Mass_351.2176883,Mass_353.2333589,Mass_355.2490296,Mass_357.2646181,Mass_365.1969184,Mass_367.2126331,Mass_367.3581262,Mass_369.228243,Mass_371.2438998,Mass_373.2595725,Mass_379.2126109,Mass_381.2282367,Mass_383.2438973,Mass_383.3530331,Mass_385.259561,Mass_387.2751814,Mass_393.2282759,Mass_395.2439109,Mass_397.2595059,Mass_397.3323067,Mass_407.2438985,Mass_409.2595251,Mass_419.2438984,Mass_433.2595394,Mass_435.2387895,Mass_437.254447,Mass_439.2701294,Mass_441.2857203,Mass_447.2751824,Mass_449.2544641,Mass_451.2701072,Mass_453.2857812,Mass_455.3530627,Mass_459.3115216,Mass_461.2908227,Mass_463.2701283,Mass_465.2857854,Mass_467.3014539,Mass_473.2826442,Mass_473.2908921,Mass_473.3272619,Mass_475.3064548,Mass_477.2858215,Mass_479.3013794,Mass_487.3065027,Mass_489.2858251,Mass_489.322202,Mass_491.30142,Mass_491.3377694,Mass_493.2807307,Mass_493.317075,Mass_495.2963414,Mass_497.3120264,Mass_499.327618,Mass_501.3221614,Mass_503.3014048,Mass_503.3377861,Mass_505.2806617,Mass_505.3170332,Mass_507.2962773,Mass_507.3327057,Mass_509.3119603,Mass_517.3170996,Mass_519.2963835,Mass_519.3327453,Mass_519.3902288,Mass_521.3119842,Mass_523.3275897,Mass_533.3119646,Mass_535.3277053,Mass_537.3432653,Mass_543.2996967,Mass_547.3277188,Mass_547.4215238,Mass_549.3068835,Mass_551.3226213,Mass_553.3381464,Mass_555.3539153,Mass_563.322493,Mass_565.3382026,Mass_575.3224916,Mass_577.3382903,Mass_589.3382516,Mass_591.3539017,Mass_603.353922,Mass_617.3694989,Mass_618.4774081,Mass_619.348725,Mass_621.3644295,Mass_627.279346,Mass_633.3643101,Mass_635.3801253,Mass_635.4164728,Mass_639.2427394,Mass_649.3957759,Mass_651.3237445,Mass_651.4113135,Mass_659.3800747,Mass_667.318605,Mass_713.3757308,Mass_793.5140729,Mass_815.4984373,Mass_817.5141034,Mass_819.5296963,Mass_867.7474712,Mass_867.748089,Mass_957.779808,Mass_966.7839791,Mass_966.7998157,Mass_969.7278645,Mass_970.755128,Mass_1027.839654,Mass_1028.719359,Mass_1029.758515,Mass_1056.831466
Kelly_100,T_1,52,0,0,0,0,0,0,1102718.1,0,0,0,0,0,0,0,0,0,1768882,3551595,1001100.6,0,0,0,0,2779150.5,0,1346989.6,0,1724368,7609340.5,2070015.5,3030789.3,1211974.5,2222156.5,0,1906341.1,0,2856585.5,7320104,5061675.5,15171546,24758676,1216217.4,1344539,1205235,1096138.8,6363822.5,1049138.8,0,0,0,3098744.5,3549821.3,2102916,1101579.8,0,4024455.3,5930629.5,0,4898943,1460339.8,0,0,1226729.1,0,0,0,0,1907745.1,0,0,0,0,0,0,0,1726007,0,0,0,0,2002274.3,1734772.5,0,0,0,0,0,0,0,0,0,0,0,1664414.8,0,0,2293806.5,0,0,0,2669081.3,0,0,0,0,0,1520669.6,0,3457725.8,0,2177886.8,0,0,1726417.4,2778154,0,0,1403780.5,0,2396132.5,1577483.5,0,0,0,0,1939052.9,1832047.9,0,0,1481789.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_101,T_1,62,0,0,0,1001491.9,1090727,0,0,0,0,0,0,0,1003158.3,1082900.1,0,1282701,1475090,3006989.8,2773641.3,0,0,1387927.4,0,2247084.5,0,1488302.3,1036732.7,2488514,10763750,7029224.5,3112686,1443755.6,2820401.8,0,2159755.5,1197568,2778527,10612818,5143126,25728540,28293106,2008275.6,1369779.6,0,1161254,8650157,1174321.3,0,0,0,2453035.5,2188627.3,1648763.9,0,0,3693854.5,4005165.5,0,3453236.3,1724465.6,0,1805248.4,1116569.6,0,0,0,0,1784659.5,1713180.4,0,0,0,0,0,0,1777540.6,1303563.6,0,0,0,0,0,0,0,0,0,1334241,0,0,5186635,0,0,0,0,0,0,1915654.1,0,0,0,2119441.5,0,1507861.1,0,0,0,0,1787345,3118740.8,1377954,2350443.8,0,0,1978143.4,2574271.8,3577804,0,1799269.6,0,2598817.8,2404378.8,1842829.6,0,0,0,2517660.5,1673703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878199.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_102,T_1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010398.3,3877824.8,2713004,0,0,0,0,2384149.8,0,1218093.6,0,1314905.3,9762322,2159893.5,2799131.5,0,2233203,0,1550302.9,0,2196265.3,9027815,3902186.8,12725946,16806040,1889664.4,0,0,0,7572077,0,0,0,0,1682170.1,1111588.5,1434959.8,0,0,2967563.5,2910241.3,0,3236399.5,1598518,0,1224689.1,0,0,0,0,0,1705453.6,0,0,0,0,0,1394426,0,1799745.1,0,0,0,0,1707004.6,0,0,0,0,0,0,0,0,3184271.5,1379474.6,0,0,0,0,0,2479237,0,1385333.3,0,1715536.6,0,1376561.8,0,0,0,1557321.1,0,3124465.5,0,1603998.3,0,0,0,2487013.3,0,0,0,0,0,0,0,0,0,0,1633052,0,0,0,2015654.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1704920.9,0
Kelly_103,T_1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303709.8,1647991.3,1932445.1,0,0,0,0,1753751.3,0,0,0,0,6276553,1466828,1031377.9,0,1245352,0,0,0,1139880.1,6711554,2035206.1,6463222,8200438.5,0,0,0,0,5782428,0,0,0,0,1096970.8,1289312,0,0,0,2480679.5,2264910,0,1933416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316425,0,0,0,0,0,0,0,0,0,0,0,0,0,3145164.5,0,0,0,0,0,0,1366383.3,0,0,0,0,0,0,0,0,0,0,0,2262910.8,0,1374267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_134,T_2,37,0,0,0,0,0,2071463.4,0,0,0,0,0,0,0,0,1075352.3,0,1440842.9,2728031.3,2440472.3,0,0,0,0,3904600.8,0,1480685.5,0,1976697.9,13875347,1356949.6,3131547,1564618.4,1975504.1,0,1324184.1,0,2546376.8,13881949,4893280,12823557,16848310,1166963,0,0,0,13078186,0,0,0,0,2113354.5,1241412.9,1152832.3,0,0,2705638.3,2415054.8,0,2586033,1501067.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212941.4,0,0,0,0,0,0,0,0,0,0,0,0,1842598.4,0,0,0,0,0,0,1414819.1,0,0,0,1348421.9,0,0,0,0,0,0,0,1919655.4,0,1335119.3,0,0,0,1570679.1,0,0,0,0,0,0,0,0,0,0,1577062.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_135,T_2,35,0,0,0,0,0,1620955.4,0,0,0,0,1250668.3,0,0,0,1260489.6,1293411.1,1906537.8,2657290,1310809.4,0,0,0,0,3279133,0,0,0,1222019.5,11492361,1258379.5,0,1014185.4,1208878.8,0,0,0,1343510.8,11230473,2171148,4598413.5,4797466,1175473.6,0,0,1149467.8,10230866,0,0,0,0,1129276.5,0,0,0,0,2350081.8,1822170.5,0,1914031.9,0,0,0,0,0,0,0,0,0,0,0,1512790.3,0,0,0,0,0,0,0,0,0,0,0,0,1387623.5,0,0,0,0,0,3283187.8,0,0,0,0,0,0,1613189.1,0,0,0,1410529.4,0,0,0,0,0,1717029.5,0,1927098.6,0,0,0,0,0,1554843.5,0,0,0,0,1688743.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2061566.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_136,T_2,34,0,0,0,0,0,2148360.5,0,0,0,0,0,0,0,0,0,1185416,1385743,2230076,1337644.8,0,0,0,0,4489602,0,0,1182388.8,1324665.4,11510139,1784701.5,1932162.5,0,1218715.3,0,1067331.1,0,2237144.3,10206784,3140163.3,9863098,13196605,1198922.5,0,0,0,7870796.5,0,0,0,0,1188532.1,0,0,0,0,2691463,1960578.9,0,1757312.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890017,0,0,0,0,2036394.4,1689461,0,0,0,0,0,0,0,2286236.3,0,0,0,0,0,0,1651986.3,0,0,0,0,0,0,0,0,0,0,0,2224204.5,0,0,0,0,0,1724819.4,0,0,0,0,1493425.9,0,0,0,0,0,2008267.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105915.3,0,0,0,0
Kelly_137,T_2,31,0,0,0,0,0,2685555,0,0,0,0,0,0,0,0,1464652.9,0,0,1195749.6,1705879.3,0,0,0,0,3948254.8,0,0,1170649.1,0,9462163,2599830,1336092,0,0,0,0,0,1081398.8,8169597,2412417.3,9854556,12982342,0,0,0,0,6983288.5,0,0,0,0,1241746.3,1322462.6,0,0,0,2261478,1678380.8,0,1526894.3,0,0,1222210.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1937594.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2594316.3,0,0,0,0,0,0,0,0,0,0,1786099.1,0,0,0,0,0,0,0,2275002.8,0,1453959.3,0,0,1434950.8,2022387.5,1421312.1,0,0,0,1713755.4,0,0,1943229.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_138,T_2,27,0,0,0,973668,0,2662702.8,0,0,0,0,0,0,0,0,1657549,0,1362381.9,3660369,1678044.5,0,0,0,0,3632902,0,0,0,1086481.3,9931055,1285809.8,1500471.3,0,0,0,0,0,1502384.3,10797912,1701723.6,7258390,8845023,0,0,0,0,7866460,0,0,0,0,1341093.8,0,0,0,0,1937013.3,1684358.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411681.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1680262.8,0,0,0,0,0,0,0,0,0,0,1365687.8,0,0,0,0,0,0,0,1956158.9,0,1517779.5,0,0,0,1497897.8,0,0,0,0,0,0,0,0,0,0,1834003.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_139,T_2,36,0,0,0,0,0,1878967.4,0,0,0,0,0,0,0,0,1227657.6,1137287.8,1445901.1,2193300,1229234.6,0,0,0,0,3696495.3,0,0,0,1551063,11081737,1218571.8,2029841.6,0,1329508,0,0,0,1409822.1,10600162,3041510,10618046,13622948,0,0,0,0,8204478.5,0,0,0,0,1371565.3,1157997.9,0,0,0,2242174.5,1986477.9,0,2134742.3,0,0,0,0,0,0,0,0,0,0,0,3946955.8,0,0,0,0,1732022.9,0,0,0,0,1545868,1567892.3,0,0,0,0,1446986.4,0,0,2258290.3,0,0,0,0,0,0,0,0,0,0,1509808,0,0,0,0,0,0,0,1591827,0,1565708.8,0,0,0,0,0,0,0,0,1438705.4,0,0,2288464.5,0,0,1950599.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554628.1,0,0,0,0
Kelly_21,T_0,76,0,1010880.7,0,0,0,5957558.5,0,0,0,996256.9,0,0,0,0,1415148.1,0,0,1494291.5,0,0,1304599.3,0,1438971.3,0,1998826.1,7108874.5,0,5028337,2042599.8,3407082.3,6650607,0,4092931.8,0,1587886,0,10118779,3770360.3,12866556,34065804,36990756,1992140.5,2715760.5,1969193.4,1162209.5,2952099.8,0,1022656.7,0,0,6144161.5,5338738,7330879.5,2044425.1,0,7455349,10266636,1274409.3,16359831,3751699,0,1297270.6,1614521.6,0,1445892.9,0,1081044.1,1633202.3,1350096.8,0,0,0,0,0,0,1629336.5,0,0,0,0,1189739.4,0,0,0,0,0,0,0,0,1550638.5,1213744.9,0,0,1210350.5,0,0,2629522.5,0,1877947.1,0,1925581.4,0,2605531.8,2541019.3,1520075.4,1334183.9,1840499.5,0,2920242.3,1758522.3,2368237,0,2020508.1,1644265,2555491,0,1900660.8,1846236.9,0,1737278.9,1263004.9,0,0,0,1287895.9,2511144,1390227.5,1271556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031283.1,0,0,0,1629007.5,0,0,0,3525321.5,1720833.9,2011900.8,3066349.5,0,1769392,0,0,0,0,0,0,0,0,2260912.8
Kelly_22,T_0,96,0,0,0,0,0,4584843.5,0,1032728.9,0,1215611,0,0,1008549.9,1086231.3,1576603.4,0,1406088.8,2299640.8,1685843.8,0,1532886,0,1464154.1,0,1869930.1,5370681,1405247.3,4889668.5,2407776,4351842.5,6537064,1622941.4,4755107,1067117.9,1075700.1,0,9241565,4231554.5,12555654,33767228,37376256,2539473.3,3915933,1119231,1796191.6,3743306.8,0,1320682.1,1085251.4,0,6192147,5821964,6478849.5,2692083,1368414.8,7326493.5,9296090,0,13911689,3842089,0,2014998.5,1493115.5,0,1311978.5,0,0,2374718.8,0,0,0,0,0,0,0,2238136.3,1546967.1,0,0,0,1267919,1351254.5,0,0,0,1376620.5,1799955.9,1282763,0,1749658.6,1907869.5,0,1733971.6,2445305.5,1588647.1,1444098.3,3351930.5,0,2783218.3,0,2596434,1645661.3,2198191,1931516.1,1658169.6,1609570,3121016.3,1673090,4046209.5,2061194.9,3260807.5,0,1368961.5,2174196.8,3044023,1325247.3,2001100.1,2441338.5,1522999.6,3530387.5,1728060,0,0,0,0,2402262.3,1886096,1366607.6,0,0,0,0,0,0,0,0,1558554.4,0,1532817,0,0,0,0,2802446.8,1441726.6,1544805.5,0,0,0,0,0,3169443.5,0,0,2581404,1590630.1,0,2009102.3,1841636.4,0,0,0,0,0,1956753.6,0
Kelly_23,T_0,131,0,0,1105488.5,0,0,7818105,0,979714.6,0,2311487.3,0,0,1021272.2,0,2249620.8,0,2332993.8,2020334.4,2956758.3,0,2903513.3,0,4044414,2266398.3,3739429.8,9468633,1742009.3,8976318,5370025.5,6331563.5,12535984,1342379,7836079.5,0,3281596,0,15730507,8774794,19576972,51261912,53130028,3378823.5,5210592.5,3161418.5,2602676.3,6482471,1790250.1,0,1531557.4,1545637.1,8991144,9325365,12604611,3143250.5,2083042.6,10546692,14610319,0,21819672,5699228,1105182,2260100.8,2743296,1383546.5,1407631,1376757.4,1194608.9,3302107.3,2359902.8,1286245.9,0,0,1120225.6,0,0,2687461,1861149.6,1668706.3,1553074.4,1395150,1530680.8,1547446.8,1628475.8,0,0,1824630,2073095.8,1284520.3,1385803,5889827,2103589.5,1467697.9,2111945.8,3180128.3,1715968.8,2292556.5,4078540,2023383.6,3883600.8,1513308.4,3536067,1404622.5,3069241.3,3840422.5,2678795,2051680.3,3567784.5,1886387.1,5020392,2279666.5,3365161.8,1475636.1,2594146.8,2337251.8,3260906,1506035.5,2346498.5,3661810,2441201.8,3256167.3,1832249.9,1630981,0,1866622.8,0,3490072.8,2950323.8,2315336.3,1717718.1,1882557.5,1365293.3,2279942.5,2323293.5,1666346.5,1551478.3,2084922.5,2135484.5,0,2301733,1586073.8,1478530,1756596.5,1677640,4001103.3,1408335.3,1962533.9,0,1988519.6,1731668.5,0,1400387.8,5470202.5,2008156.4,2342413.8,3198900.8,3145928.3,0,0,0,0,0,0,0,0,2937974.5,3312275.5
