Mass,Pickup_t,Mass_197.118319382353,Mass_199.133958777778,Mass_215.165292090909,Mass_243.196508884615,Mass_253.144533309524,Mass_255.23292782906,Mass_257.175833178571,Mass_267.160174725,Mass_279.16017326087,Mass_281.175899,Mass_281.248611714286,Mass_283.191515236842,Mass_283.264295988764,Mass_285.1261731,Mass_285.207142884211,Mass_287.222786235772,Mass_293.175872931034,Mass_293.212245863636,Mass_295.227874185185,Mass_297.153007758065,Mass_297.243538842105,Mass_307.191524625,Mass_309.170789181818,Mass_309.207143388889,Mass_309.279836,Mass_311.168630556291,Mass_311.186405398374,Mass_311.222772076336,Mass_313.202066375,Mass_313.238419428572,Mass_315.217709648649,Mass_315.254074025974,Mass_321.207119304348,Mass_323.186359425676,Mass_325.184315150327,Mass_325.202071454545,Mass_327.217683461539,Mass_329.233314821656,Mass_331.249009165354,Mass_333.207155595506,Mass_335.222800655173,Mass_337.202014042105,Mass_339.199967053691,Mass_339.217653695652,Mass_341.233312521739,Mass_349.202023092308,Mass_351.217688301887,Mass_353.233358876543,Mass_355.249029571428,Mass_357.264618137931,Mass_365.196918431373,Mass_365.233345692308,Mass_367.212633132353,Mass_367.3581262,Mass_369.228243033058,Mass_371.243899758242,Mass_373.25957247619,Mass_379.212610938053,Mass_381.228236662791,Mass_383.24389725,Mass_383.353033142857,Mass_393.228275927083,Mass_395.243910875,Mass_397.332306727273,Mass_407.243898543478,Mass_419.243898388889,Mass_433.2595394,Mass_435.238789458015,Mass_437.25444703,Mass_439.270129415094,Mass_447.275182363636,Mass_449.254464051724,Mass_451.270107205479,Mass_455.353062652174,Mass_461.290822694444,Mass_463.270128340659,Mass_465.2857854,Mass_473.282644207921,Mass_473.290892093333,Mass_475.306454833333,Mass_477.285821546512,Mass_479.3013794,Mass_487.306502690909,Mass_489.285825146342,Mass_489.322201957447,Mass_491.301420045455,Mass_493.280730666667,Mass_495.296341385416,Mass_497.31202640678,Mass_501.322161382353,Mass_503.301404798077,Mass_503.337786111111,Mass_505.280661655405,Mass_505.317033232558,Mass_507.296277285714,Mass_507.332705722222,Mass_509.31196025974,Mass_511.327650307692,Mass_517.317099614754,Mass_519.296383536764,Mass_519.332745325842,Mass_519.390228826087,Mass_521.311984201835,Mass_521.348335206896,Mass_523.327589731343,Mass_533.311964568346,Mass_535.327705281554,Mass_537.343265346939,Mass_543.299696666667,Mass_547.327718830508,Mass_547.421523833333,Mass_549.306883547445,Mass_551.322621288136,Mass_553.338146396825,Mass_563.322493,Mass_563.4164035,Mass_565.33820259375,Mass_575.322491602564,Mass_577.338290257576,Mass_589.338251558139,Mass_603.353922,Mass_617.369498931035,Mass_618.477408125,Mass_619.348724967742,Mass_621.364429461538,Mass_633.364310076923,Mass_635.41647284,Mass_657.253483333333,Mass_675.375095,Mass_727.339876666667,Mass_793.514072884615,Mass_815.498437285714,Mass_817.514103363636,Mass_867.747471214286,Mass_867.748089,Mass_966.783979125,Mass_970.765267875,Mass_1003.831054,Mass_1015.65494675,Mass_1029.75851533333,Mass_1031.630989
Kelly_104,T_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045715,1539895.9,0,0,0,2028815.1,0,1106335.8,0,1093442.9,0,6089849.5,1298812.4,1616002.5,0,0,0,1031377.4,0,1598952.4,6220738,2866886.3,8096181.5,7651252,1354945.4,0,0,0,5912136.5,0,0,1462423.4,0,0,0,0,1903465.5,0,2238341,0,2165395.8,0,0,0,0,0,0,1280197.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712299.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619379.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_105,T_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369255.8,3886625.8,1330974.4,0,0,1548744,0,0,1103494.9,0,0,7384891.5,1552702.4,0,1108878.4,0,0,0,0,1991499.1,6558222,2649618.3,5800937,6800846.5,1379393.3,0,0,0,6411224.5,0,0,1488153.1,1213899.4,0,0,0,2311352.3,0,2219461.3,0,1493448,0,0,1118751.5,0,0,0,0,0,0,0,0,0,1553357.8,0,0,0,0,0,0,0,0,0,1789861.3,0,0,0,0,0,1441626.5,0,0,1396779.5,0,0,0,0,0,2166481.8,0,0,0,0,0,0,1931610.4,0,0,0,0,0,1491243.5,0,0,0,0,0,1780751.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830078.1,0,0,0,0
Kelly_106,T_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130550.3,1515559.5,0,0,3010188.3,0,0,0,1226396.1,0,8719499,1262861.3,2052497.9,0,1671068.5,0,1022651.3,0,2012118.6,8252745,2961484.3,7911121,9295972,1511300.8,0,0,0,7238884,0,0,1256531.1,0,0,0,0,2039376.1,0,2230871,0,1868635.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031633.5,0,0,0,0,0,1844952.3,0,0,0,0,0,0,0,0,2301050.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709536.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_107,T_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1108980.3,0,1804091.9,0,0,0,3145435.5,0,0,0,1163820.1,0,10400569,5839676,1535681.1,1223007.4,1662564.8,0,1199638.6,1392107.8,2002634.1,11699255,3618362.5,16860598,15093564,1066188.1,0,0,0,8505167,1123923.3,0,1534499.9,1385980.4,0,0,0,2818857.3,0,3220759.3,0,2136325.8,0,0,0,1106314,0,0,1204152.6,0,0,0,0,0,1466713.8,0,0,0,1250486.3,0,0,0,0,0,1769524.4,0,0,0,0,0,1489756.8,0,0,1692048,0,0,0,0,1823076,2102226,0,1497427,0,0,0,0,1883868.3,2185959.3,0,0,1491784,0,1809151.6,1930045.8,1948022.8,0,0,0,2228283.5,1696335.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_108,T_1,0,0,0,0,0,1716356.4,0,0,0,0,0,0,0,0,2110484.5,5031168,1369035.8,0,0,1721936.4,0,0,1070348.9,1489681.9,0,6857513.5,2074668.4,1570609.8,0,1529961.8,0,1488696.6,0,2745767.8,7740756,3508055.8,8860440,12735720,1316805.4,1061794.1,0,0,6897303.5,0,0,2140199.5,1734230.9,0,0,0,3735166.8,0,3560097.5,0,2089917.6,0,0,0,0,0,0,1142830.8,0,0,0,0,0,1472255.5,0,0,0,4909708,0,0,0,1467550.4,0,2008019.4,0,0,0,0,0,1887465,0,0,0,0,0,0,1594591,0,3564451,0,1742703.6,0,0,0,1564944,2588336.5,0,0,0,0,0,1725069.4,0,0,0,0,0,1736453.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940405.6,0
Kelly_109,T_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397229.3,0,0,0,1591948.4,0,0,0,0,0,6057639.5,1196458.3,2149552,1005488.2,1522422.3,0,1328340.5,0,1967750.8,7548229,3715912.8,9878299,12930301,1386349.5,0,0,0,5336836.5,0,0,0,1058069,0,0,0,2022487.3,0,1489525.4,0,2003594.5,0,0,0,0,0,0,0,0,1197149.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1937772.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312762.6,0,0,0,0,1387689.1,0,0,0,0,0,0,0,0,2691767.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_140,T_2,0,0,0,953930.2,0,2200843.8,0,0,0,0,0,0,1209924.3,0,1979609.9,3895921.8,1308726.3,0,0,2822272.5,0,1146548.9,0,1375817.3,0,9132011,1681645.4,2104051,0,1579825.1,0,0,0,1994334.3,8937982,3544578,12483507,15451506,1312827.8,0,0,0,7336620,0,0,0,1185576.8,0,0,0,2025673.6,0,2886341.8,0,1812411.5,1211306.3,0,0,0,0,0,0,0,0,0,0,0,0,1202385.3,0,0,0,0,0,0,0,0,2035385.4,0,0,0,0,0,1371581.5,0,0,0,0,0,0,0,0,2726610.5,0,1960207.5,0,0,0,0,1762766.8,0,0,1435615,0,0,0,0,0,0,1900475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_141,T_2,0,0,0,0,0,1561584.6,0,0,0,0,0,0,0,1271249.4,1580245.6,3200443.3,1562856.6,0,0,4485580,0,0,1165783.3,0,0,13049035,0,0,0,0,0,0,0,0,13637012,1808279.6,4269855.5,4750006.5,1127259.8,0,0,0,10253651,0,0,1676785.8,0,0,0,0,2302831.8,0,2322572.3,0,1785256.3,0,0,1162375.8,0,0,0,0,0,1361999.8,0,0,0,0,0,0,0,0,0,1979262,0,0,0,1634989.3,0,0,0,0,0,1450637.9,0,0,1534138.3,0,0,0,0,0,1840652.9,0,0,0,0,0,1355515.3,1982306.9,0,0,0,0,0,0,0,0,0,0,0,0,1759418.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1626660.3,0,0,0,0,0,0,0,0,0,0,2210999.3,0,0,0
Kelly_142,T_2,0,0,0,0,0,1690912.9,0,0,0,0,0,0,0,998972,0,2438720.3,2119629,0,0,3494145.8,0,0,0,1100779.3,0,9998753,1292324,1339818,0,1476737.4,0,0,0,1918689.4,9199791,2502067,8467093,11222150,1213317.9,0,0,0,8658651,0,0,1296135.5,0,0,0,0,2214445,0,1674852.4,0,1408275.9,0,0,0,0,0,0,0,0,0,0,0,0,1320499.6,0,0,0,0,0,0,0,0,0,2292401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636359.3,0,0,0,0,0,0,1666543.3,0,0,0,0,0,0,0,0,0,0,0,0,1726593.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_143,T_2,0,0,0,0,0,2958269.3,0,0,0,0,0,0,1364914.6,0,0,1278263.4,1105351.1,0,0,2906741,0,0,0,1442070,0,8991417,0,1440961.1,0,1028483.2,0,0,0,1917802.8,7034143,2713378.8,10383084,15033540,0,1462675.4,0,0,6536881,0,0,2475179.3,1303799.5,0,0,0,3044937,0,1918118.8,0,1725442.8,0,0,0,0,0,0,0,0,0,0,0,0,1547567.8,0,0,0,1291813.5,0,0,0,0,0,1656257.3,0,0,0,0,0,1682199.4,0,0,0,0,0,0,0,0,2540989.8,0,1637517.4,0,0,0,0,2065776,0,0,0,0,0,1782526.5,0,0,2506855.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
