SampleID,Pickup_t,Count,Mass_170.9935185,Mass_191.0196991,Mass_198.9884209,Mass_214.048623,Mass_219.0146439,Mass_221.0302965,Mass_249.0251884,Mass_277.0201187,Mass_279.0358032,Mass_323.025664,Mass_325.0412646,Mass_351.0205108,Mass_353.036191,Mass_355.0517991,Mass_373.0048505,Mass_381.0310574,Mass_383.0467222,Mass_400.999783,Mass_501.0733594,Mass_529.0682317,Mass_531.0838216,Mass_559.0787492,Mass_561.0944325
Kelly_100,T_1,19,2178448.5,28864020,0,1708144.6,1115489.4,2365495.5,2078431.5,1133569.1,2677336.8,1683048.9,15097354,2104394.5,4394065,10646105,0,2641850,6826396,0,9779483,0,2163580,2938391.3,3143184.5
Kelly_101,T_1,12,2657279.5,20328614,0,1136304.1,0,1590610.1,0,0,1308542.3,0,10741810,0,1136709.8,6316654,0,0,2853952.5,0,8954511,0,0,2308486,2496438.8
Kelly_102,T_1,12,1964938.6,25070550,0,0,0,1139074.6,0,0,1485843.3,0,9550022,0,1105049.5,5110597,0,0,2576267.3,0,8373057,1564313.1,0,1586770.1,2872162.8
Kelly_103,T_1,10,1334006.6,14512279,0,0,0,0,0,0,0,0,10277087,0,2020730.3,4489676.5,0,0,2983561.3,0,12289961,1602109.8,0,2234020.5,4002376.5
Kelly_134,T_2,11,1338949.4,16444015,0,0,0,1566991.4,1231122.1,0,0,0,10211903,0,1571086.6,5275146,0,0,2658289,0,8284932.5,0,0,1981586.1,2749978
Kelly_135,T_2,10,0,11072071,0,0,0,1343980.8,0,0,0,0,11445486,0,2213570,6496927,0,0,4575208.5,0,12918329,1663126.9,0,3832653,2866527.5
Kelly_136,T_2,14,1374929.9,19467354,0,0,947597.5,2375847.8,1748389.4,1071867.5,1577294.6,0,13058598,0,2668488.3,6625201,0,0,4133187.3,0,11994336,0,0,3046557.3,3167381.8
Kelly_137,T_2,12,0,44278344,0,0,0,1446608.5,1322105.3,0,1084685.1,0,9877596,0,1248500,0,1306775.1,0,2347339.5,0,11178717,0,1951616.8,1939106.9,5027520
Kelly_138,T_2,13,0,26933856,1068964.3,0,0,1688774,0,0,1019615.7,0,11991865,0,1556400.5,5874898.5,1370960.5,0,2312939,1163985.4,12263855,0,0,2398368,3614809
Kelly_139,T_2,17,1148213.5,39469844,0,1040516.4,1143682.8,1117428.8,1089250.8,0,990426.6,0,11782849,0,1444215.6,4012090.5,1573835.3,0,2499556.3,1213540.8,14013889,1654462.3,0,2519692.3,4676155.5
Kelly_21,T_0,1,0,43721468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_22,T_0,1,0,45021020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_23,T_0,1,0,53963436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_24,T_0,1,0,42440456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_25,T_0,2,851337.6,85131960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_26,T_0,2,989027.9,48591676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_27,T_0,1,0,32536506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_28,T_0,2,0,42080692,0,0,0,0,0,0,0,0,1104380.3,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_29,T_0,2,0,72352536,0,0,0,0,0,0,0,0,1119906.1,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_30,T_0,1,0,83690248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_68,T_0.5,9,1080132.5,10079173,0,0,0,0,1096065.6,0,0,0,5255280.5,0,0,2157160.5,0,0,1986730.4,0,7783706,0,0,1541710.9,2213465.8
Kelly_69,T_0.5,11,1214255.3,10353244,0,0,0,0,1080456,0,0,0,12097909,0,1868490.3,4544225.5,0,0,3495257.5,0,18880898,1735313,0,2658881.5,3192317.8
Kelly_70,T_0.5,10,0,13571071,0,1040742.9,0,0,0,0,1121029.9,0,10732978,0,2082957.8,4340115,0,0,5060972.5,0,4125008,0,0,4585519.5,2163759.5
Kelly_71,T_0.5,16,2045227.9,12807933,0,0,0,1472909,1428403.5,0,1742068.6,1343659.9,11777963,1082610.1,2512516.5,6960922,2250008,2084105.4,6223487.5,0,7877062,0,0,2886636.5,1585185.5
Kelly_72,T_0.5,11,0,8380598,0,0,0,1157280.6,0,0,1007045.4,0,9103320,0,1877913.1,3652759.8,0,0,2873073.8,0,11443911,1400413.5,0,2015317.1,2592833.5
Kelly_73,T_0.5,11,1417626,11814173,969336.8,0,0,0,0,0,0,0,14351162,0,1613259.4,5693361,0,0,2389365.3,0,22444432,0,2501695.3,2013329.8,3150621.5
Kelly_98,T_1,14,1721991.5,25777812,0,0,0,1919250.8,1288110.1,1002473.3,1651042.9,0,12335817,0,2160678.5,5318465,0,0,3323024.8,0,14799084,0,2082152.6,2401743.5,3680772
Kelly_99,T_1,14,1218479.8,11853700,0,0,1003587.6,920898,0,0,0,0,16091705,0,2914376.3,7491227,0,1260339,4839083.5,0,22098672,2574031.5,1930091.3,4913071,3150241.3
