Mass,Pickup_t,Mass_170.99351848,Mass_191.019699095541,Mass_198.988420877551,Mass_214.048622954545,Mass_219.014643928571,Mass_221.03029645679,Mass_228.998993875,Mass_242.978244979592,Mass_249.025188442623,Mass_279.035803213115,Mass_314.999421137931,Mass_325.04126459,Mass_353.036191015385,Mass_355.051799111111,Mass_373.0048505,Mass_381.031057363636,Mass_383.046722195402,Mass_501.0733594,Mass_529.068231652174,Mass_531.083821575758,Mass_559.078749245902,Mass_561.094432537313
Kelly_104,T_1,918855.3,19428260,0,0,0,1583902,0,0,0,1500691.3,0,14829472,2210295.3,6594625,0,0,4180060.3,13476144,1650026.3,0,2055318.6,3060281
Kelly_105,T_1,0,15482186,0,0,0,1573589.4,0,0,1454758.5,1229984.3,0,13724141,2612934.3,7620854.5,0,0,4863100,16412829,1925961,0,3299715.8,3451322.3
Kelly_106,T_1,1363434,15874527,1131330.4,0,0,1292614.4,1038269.9,0,0,1309737.9,0,13302062,1734937.3,7184411,0,1145851.9,4653042,13143480,1679367.5,0,2787071,3383579
Kelly_107,T_1,1322411.1,20003652,0,1202655.1,0,1091909.9,942759.6,0,0,1302274,0,13098013,2139306.5,7007627,0,0,3773003.3,10808458,1707062,0,2378778.5,3174419.3
Kelly_108,T_1,0,15161380,0,0,0,0,0,0,0,0,0,4625204.5,0,3148163.8,0,0,1764995.1,3626941.3,0,0,0,0
Kelly_109,T_1,0,22081612,0,0,1105939.3,1572764.4,0,0,983633.6,1092193.9,0,14108964,2312471.8,6525010,0,0,4348120,16189651,2137396,1929663.1,3268222.8,6143643
Kelly_140,T_2,0,16641631,0,0,914695.8,1176190,0,0,0,1502568.6,0,14115296,2406018.3,6728335.5,0,0,3599237.3,12548106,2058155.9,0,2554802,2968528
Kelly_141,T_2,862570.6,12927614,0,1077141.6,0,1272166.4,0,0,1053600.8,1330937.3,0,16627065,2470096.3,11376864,0,0,5872126.5,17617592,0,0,4425127,3806117.3
Kelly_142,T_2,1541531.8,21922056,991061.1,0,0,1545812.4,968362.9,0,1051386.6,1216298.6,0,16550029,2102632.5,8606903,0,0,4149945.5,15454306,2077078.4,2389991.5,2584823,4735188
Kelly_143,T_2,1260621.8,63746368,0,0,0,1239295.3,0,0,0,1340934,1442350.6,9924863,1620750.9,4664932.5,1774183.5,0,2566379.5,12205036,2092834.6,0,2166250.3,5204022
Kelly_144,T_2,941799.3,18688658,0,1405977.3,0,1161435.4,0,0,0,1395657.3,0,12646161,1709707.1,8484292,0,0,3886853,14214089,2287126.8,2539147.3,2708273.3,3623705.5
Kelly_145,T_2,875385,35188284,0,1100247,0,0,0,1102056.9,1066488.6,1215283.3,1065886.5,14270558,1823255.8,0,0,0,3002137,15925259,2199295.5,2111921.3,3265434.8,5036471.5
Kelly_31,T_0,889907.3,111273256,0,0,0,0,0,0,0,0,0,1914861.4,0,0,0,0,0,0,0,0,0,0
Kelly_32,T_0,1131126.8,71606704,0,0,0,0,0,0,0,0,0,2388675.5,0,1486232.3,0,0,0,2044244.9,0,0,0,0
Kelly_33,T_0,1021931.6,91839152,0,0,0,0,0,0,0,0,0,1339862.3,0,0,0,0,0,0,0,0,0,0
Kelly_34,T_0,0,98221024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_35,T_0,0,82641672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_36,T_0,0,88486536,0,0,0,0,0,0,0,0,0,1079252.5,0,0,0,0,0,1624218.8,0,0,0,0
Kelly_37,T_0,1509361,118348776,0,0,0,0,0,0,0,0,0,1976419,0,0,0,0,1132577,1601303.3,0,0,0,0
Kelly_38,T_0,1268011.4,96119432,0,0,0,0,0,0,0,0,0,1930263.4,0,0,0,0,0,1678968.1,0,0,0,0
Kelly_39,T_0,0,105171640,0,0,0,0,0,0,0,0,0,2084548.8,0,0,0,0,0,0,0,0,0,0
Kelly_40,T_0,0,76221304,0,0,0,0,0,0,0,0,0,1438675.5,0,0,0,0,0,0,0,0,0,0
Kelly_41,T_0,0,103709032,0,0,0,0,0,0,0,0,0,1655860.4,0,0,0,0,0,0,0,0,0,0
Kelly_74,T_0.5,1805052.3,14350825,0,0,0,0,0,0,0,0,0,7331971,1162497.6,3687732.3,0,0,2809313,8079700.5,1707987.6,0,2254219.3,3633513.3
Kelly_75,T_0.5,0,12484805,0,0,0,0,0,0,0,0,0,14201007,2897052,7001818.5,0,0,5329392,21287548,2793224,2139067,4451560,4679387
Kelly_76,T_0.5,1204738.8,10153643,0,0,0,0,0,0,0,0,0,4130009.3,0,1704623.3,0,0,1777510,4570695.5,0,0,0,2509896.3
Kelly_77,T_0.5,2316545.8,24818292,0,1040298.1,1520919.8,2802588.8,0,1036296.4,2179097.3,2474991.8,1296490.5,23856698,4298181,12628021,1532240.3,2788364.8,7951408,22926418,2921707.3,2756949,5128749,4208696.5
Kelly_78,T_0.5,1531741.6,13713935,0,966951.8,0,931482.6,0,0,1306154.4,0,0,13632816,2356222.3,6233142,0,0,3966291,17523348,2012492.4,1644874.4,2857065,3971625.3
Kelly_79,T_0.5,1478647,13846327,0,0,0,1213849.8,0,0,0,990025.7,1279758.9,9022249,1539281.8,3650354,1327137,0,2643576.5,10726767,0,0,0,2557287
