SampleID,Pickup_t,Count,Mass_359.0543363,Mass_415.2197229,Mass_472.1583677,Mass_530.1672127,Mass_533.1440062,Mass_580.1464595,Mass_584.227813,Mass_593.2127424,Mass_594.1620268,Mass_597.2133332,Mass_629.260792,Mass_649.2083955,Mass_651.1877444,Mass_661.323279,Mass_662.20197,Mass_663.1875422,Mass_663.3389905,Mass_668.3217149,Mass_671.3077705,Mass_679.1824252,Mass_680.2123478,Mass_683.213701,Mass_699.2086009,Mass_1003.625309
Kelly_100,T_1,6,1883489.5,0,0,0,0,0,0,0,0,0,2088710.6,3221337.8,0,0,0,4702494,0,0,0,2040520.4,0,2184734,0,0
Kelly_101,T_1,6,2605233.8,0,0,0,0,0,0,0,0,0,0,3938325.8,0,0,1559168,5712634,0,0,0,0,1629509.4,3611850.5,0,0
Kelly_102,T_1,6,2460047.5,0,0,0,0,0,0,0,0,0,0,3557232,2023995.5,0,0,5406871.5,0,0,0,0,1537991.8,3514014.3,0,0
Kelly_103,T_1,4,3368540.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4547829,1601301.1,0,0,0,2151272.3,0,0,0
Kelly_134,T_2,9,3393527,0,0,1582108,1768671,0,0,0,0,0,1424098.8,4739191,0,0,0,5465310,0,0,0,2996338.3,2325798,2519820.3,0,0
Kelly_135,T_2,7,4496468.5,0,0,0,0,0,0,0,0,0,0,4500349.5,2222176,0,1588481.8,5449574.5,0,0,0,0,1817280.1,2567886.3,0,0
Kelly_136,T_2,5,4514184.5,0,0,0,1527298.1,0,0,0,0,0,0,3555160.5,0,0,0,4357393,0,0,0,0,2376469.8,0,0,0
Kelly_137,T_2,7,3246816,0,1570175.9,0,0,1677508.4,0,0,0,0,0,0,0,0,0,4950426.5,0,1485314.4,0,2451655.8,1977141.8,0,0,0
Kelly_138,T_2,6,3974924.3,0,0,0,0,1682476.4,0,0,0,0,0,3585633.3,0,0,1592366.9,5688033,0,0,0,0,2690417.8,0,0,0
Kelly_139,T_2,5,4922037.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1976433.3,5051700.5,0,0,0,0,2413748,3290188.3,0,0
Kelly_21,T_0,5,0,0,0,0,0,0,0,3725676,0,1660169.4,0,1375472.3,0,0,0,0,0,2494722,0,0,0,0,1449921,0
Kelly_22,T_0,6,0,0,1843734.3,0,0,0,0,6121080,0,0,0,0,0,1656716,0,0,0,1404939.4,0,0,0,0,1683922.8,2443146.5
Kelly_23,T_0,6,0,1119470.5,1901993.4,0,0,0,0,5293992,0,0,0,1782017.8,0,0,0,0,0,2639092.5,0,0,0,0,1472851.6,0
Kelly_24,T_0,4,0,0,0,0,0,0,0,3894518.3,0,0,0,2457288,0,1460593.6,0,0,0,1680532.8,0,0,0,0,0,0
Kelly_25,T_0,6,0,1308070.1,0,0,0,0,0,4780576,0,0,0,2499684.5,0,0,0,0,0,1430576.4,0,1364431.1,0,0,2453122,0
Kelly_26,T_0,4,0,0,2313085.3,0,0,0,0,4914986.5,0,0,0,0,0,0,0,0,0,1667810.4,0,0,0,0,2150481.8,0
Kelly_27,T_0,6,0,1266475.5,1597368.9,0,0,0,0,3602667,0,0,0,1874425.9,0,0,0,0,0,0,0,0,0,0,1504593.3,1684438.9
Kelly_28,T_0,4,0,0,1228832.3,0,0,0,0,2766616.5,0,0,0,1987567.6,0,0,0,0,0,1714761.3,0,0,0,0,0,0
Kelly_29,T_0,6,0,0,0,0,0,0,1551029.5,5458389.5,0,1726896,0,0,0,0,0,0,0,2139747.5,0,0,0,0,2081007.1,3367548.3
Kelly_30,T_0,7,0,0,0,1559414.3,0,0,1625557.1,4548269,0,1590658,0,0,0,0,0,0,0,3069667.5,1401288.3,0,0,0,2304662,0
Kelly_68,T_0.5,5,3221473.8,0,0,0,0,0,0,0,1704050,0,0,4725715.5,0,0,1556733,0,0,0,0,0,1760712.5,0,0,0
Kelly_69,T_0.5,7,5359361,0,0,0,0,0,0,0,1546673.3,0,0,5505993,0,0,0,4834460.5,0,0,1604951.5,3300780.8,0,1453517,0,0
Kelly_70,T_0.5,4,3277210.5,1432561.6,0,0,0,0,0,0,2336442.5,0,0,3977577.8,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_71,T_0.5,4,1125954.3,0,0,0,1730989.8,0,0,0,0,0,0,0,0,0,0,2321360.8,0,0,2140545.3,0,0,0,0,0
Kelly_72,T_0.5,4,3650713,0,0,0,0,0,0,0,1676644.3,0,2011484.5,4130901.3,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_73,T_0.5,5,4930682,0,0,0,0,0,0,0,1720311.9,0,0,0,1773726.5,0,0,3914424.5,0,0,1811838.6,0,0,0,0,0
Kelly_98,T_1,9,4866421.5,0,0,0,0,0,0,0,0,0,0,4884566,0,0,1970553.4,6075390,1655826.3,0,0,3310098.5,2476692,4680204,2323398,0
Kelly_99,T_1,5,4891443.5,0,0,0,0,0,0,0,0,0,0,4878099.5,0,0,0,4489745.5,0,0,0,0,2018943.1,3085504.5,0,0
