Mass,Pickup_t,Mass_359.054336273973,Mass_440.075749,Mass_472.1583677,Mass_593.212742380952,Mass_597.213333166667,Mass_605.166802,Mass_649.208395527778,Mass_662.201970047619,Mass_663.187542211538,Mass_668.321714890625,Mass_673.323385,Mass_679.182425230769,Mass_680.176000153846,Mass_680.212347765957,Mass_683.21370103125,Mass_699.208600941177,Mass_1033.67515066667
Kelly_104,T_1,3173566.3,0,0,0,0,0,3276945.3,0,4884177,0,0,0,2110197.3,2133244,3070745.8,0,0
Kelly_105,T_1,3936582.3,0,0,0,0,0,0,0,4715582,0,0,0,0,0,2283899.5,0,0
Kelly_106,T_1,2296607,0,0,0,0,0,0,0,4705873,0,0,2679863.5,0,1924244.3,2448289.8,0,0
Kelly_107,T_1,2077519.5,0,0,0,0,0,2984850,0,4584781,0,0,3057513.3,0,1877450.5,3591881.5,0,0
Kelly_108,T_1,1730528.1,0,0,0,0,0,3015771,1480115.8,0,0,0,0,0,0,0,0,0
Kelly_109,T_1,3674296.5,0,0,0,0,0,2552305.8,0,4109295.5,0,0,0,0,0,2971481,0,1767881.1
Kelly_140,T_2,3668640.8,0,0,0,0,0,3662630.3,0,4383870,0,0,2625879.5,0,2076093.3,0,0,0
Kelly_141,T_2,6571268.5,0,0,0,0,0,3908900.8,0,4749351,0,0,0,0,2012340.3,2782684,0,0
Kelly_142,T_2,5557575,0,0,0,0,0,3256107.5,0,4644451,0,0,2940004.8,0,2517791.3,2158900.3,0,0
Kelly_143,T_2,3628305,0,0,0,0,0,0,0,0,0,0,0,0,2018405.3,0,0,0
Kelly_144,T_2,5601837,0,0,0,0,1580908.8,3096060.3,0,4820778,0,0,2732609.3,0,2551520.5,0,0,0
Kelly_145,T_2,5276666.5,0,0,0,0,0,0,0,3872814.8,0,0,0,1566713.1,2167550.3,2990747,0,0
Kelly_31,T_0,0,0,1305788,2411072,0,0,0,0,0,1614366.8,0,0,0,0,0,2253513.3,0
Kelly_32,T_0,0,0,0,1634985.6,0,0,2107621.3,0,0,1423169.3,0,0,0,0,0,1596874.1,2542506.5
Kelly_33,T_0,0,0,0,2484976.3,0,0,1538189.9,0,0,0,0,0,0,0,0,0,0
Kelly_34,T_0,0,0,0,1949329.8,0,0,0,0,0,1987213.4,0,0,0,0,0,1886205.4,0
Kelly_35,T_0,0,0,0,2408866,1565382.6,0,0,0,0,1859411,0,0,0,0,0,0,0
Kelly_36,T_0,1061362.8,1287836.4,0,2526920.5,0,0,2029868.5,0,0,0,1650158.5,0,0,0,0,1709507.4,0
Kelly_37,T_0,0,0,0,2789735,0,0,2395286,0,0,2138738.5,0,0,0,0,0,1688602,0
Kelly_38,T_0,1304178.3,0,0,2636512.5,1505541.9,0,2183524.8,0,0,1599925,0,0,0,0,0,2042979.8,0
Kelly_39,T_0,1176704.6,0,0,1769539.5,1416060.1,0,0,0,0,1461896.4,0,0,0,1424992.4,0,0,0
Kelly_40,T_0,0,1177328.5,1374246.4,2158141.3,0,0,1954377.9,0,0,1781448.8,0,0,0,0,0,1554472.3,2619274
Kelly_41,T_0,0,0,1552598.9,3172905,0,0,2192533.5,0,0,0,0,0,0,0,0,2107415.3,0
Kelly_74,T_0.5,4191118.5,0,0,0,0,0,4492235,1589918.6,2273647.3,0,0,0,0,0,0,0,0
Kelly_75,T_0.5,6671193,0,0,0,0,0,4839807,0,0,0,0,3165831.8,0,0,1828926.1,0,0
Kelly_76,T_0.5,3462697.3,0,0,0,0,0,0,0,0,0,2158597.5,0,0,0,0,0,0
Kelly_77,T_0.5,4156170.8,0,0,0,0,0,0,0,2826074.3,0,1561007.8,0,0,0,0,0,0
Kelly_78,T_0.5,5053594.5,0,0,0,0,0,0,0,3420761.5,0,0,0,0,0,0,0,0
Kelly_79,T_0.5,4089844,0,0,0,0,2327467.3,0,0,2813632.8,0,0,0,0,0,0,0,0
