SampleID,Amino sugar,Carbohydrate,Cond. HC,Lignin,Lipid,Other,Protein,Tannin,Unsat. HC
Kelly_01,11.32,13.02,0.97,45.81,1.14,0.09,19.0,8.27,0.38
Kelly_02,11.2,12.94,1.21,45.61,1.53,0.05,18.75,7.99,0.71
Kelly_03,12.95,13.77,0.82,46.02,0.95,0.05,16.36,8.77,0.32
Kelly_04,12.53,14.1,0.91,43.86,0.85,0.07,18.67,8.55,0.46
Kelly_05,11.29,12.89,1.09,46.38,1.26,0.03,18.79,7.79,0.49
Kelly_06,12.7,14.93,1.1,43.27,0.79,0.03,17.81,8.92,0.45
Kelly_07,12.52,14.26,0.92,44.1,1.09,0.07,18.18,8.47,0.4
Kelly_08,12.23,14.23,1.1,44.05,0.9,0.1,18.62,8.36,0.42
Kelly_09,11.9,13.9,0.97,45.1,0.94,0.09,18.61,8.13,0.35
Kelly_10,10.76,12.13,1.13,47.11,1.63,0.05,19.11,7.59,0.47
Kelly_100,3.9,10.9,11.91,42.89,1.2,0.42,7.76,20.84,0.17
Kelly_101,4.53,10.69,12.31,44.13,1.38,0.26,8.03,18.54,0.13
Kelly_102,4.06,10.39,13.11,45.42,0.96,0.26,7.22,18.45,0.13
Kelly_103,3.26,9.33,15.09,46.22,0.54,0.22,5.24,20.0,0.11
Kelly_104,4.34,10.75,13.94,44.5,0.52,0.3,6.16,19.35,0.14
Kelly_105,3.67,9.8,14.42,46.59,0.67,0.26,6.04,18.48,0.07
Kelly_106,3.78,10.62,14.38,44.71,0.55,0.34,6.13,19.37,0.11
Kelly_107,4.92,10.44,13.42,44.17,0.96,0.3,7.34,18.3,0.15
Kelly_108,3.59,9.17,13.42,50.12,0.94,0.11,7.2,15.34,0.11
Kelly_109,4.57,11.41,13.8,42.83,0.59,0.33,6.96,19.4,0.12
Kelly_11,9.78,11.8,3.3,43.31,4.15,0.08,19.14,7.92,0.53
Kelly_110,7.63,9.4,4.58,43.08,7.03,0.1,21.11,6.81,0.26
Kelly_111,7.77,9.67,2.97,42.39,9.43,0.09,23.34,4.04,0.29
Kelly_112,6.77,7.7,5.65,45.4,6.38,0.04,20.36,7.44,0.27
Kelly_113,6.89,7.08,4.99,45.39,7.22,0.06,20.74,7.25,0.39
Kelly_114,7.38,9.96,4.57,42.69,7.58,0.09,21.37,6.17,0.2
Kelly_115,6.47,7.06,3.98,45.91,8.87,0.04,22.32,5.02,0.32
Kelly_116,3.34,12.81,19.11,35.26,0.64,0.86,7.01,20.71,0.28
Kelly_117,3.45,11.95,17.63,36.61,0.95,0.84,7.62,20.7,0.26
Kelly_118,3.39,12.93,19.43,36.08,0.55,0.69,5.87,20.87,0.19
Kelly_119,2.61,14.02,22.04,33.43,0.31,0.81,3.5,23.07,0.22
Kelly_12,10.93,13.7,3.6,42.07,2.32,0.08,17.48,9.24,0.57
Kelly_120,2.42,12.23,20.09,37.08,0.65,0.73,5.18,21.39,0.23
Kelly_121,2.3,13.28,22.25,34.91,0.31,0.77,3.32,22.71,0.14
Kelly_122,6.11,11.34,8.47,45.01,1.93,0.43,13.75,12.69,0.28
Kelly_123,6.05,15.15,11.59,37.95,1.03,0.67,9.89,17.62,0.05
Kelly_124,5.79,12.39,12.34,43.81,1.02,0.38,8.67,15.51,0.1
Kelly_125,5.9,8.56,8.96,49.06,1.36,0.21,11.67,13.96,0.32
Kelly_126,6.28,11.86,11.62,44.56,1.09,0.42,9.32,14.71,0.13
Kelly_127,5.05,8.0,10.23,50.84,1.87,0.22,11.06,12.51,0.22
Kelly_128,6.37,13.0,11.6,40.38,1.71,0.55,10.09,16.09,0.22
Kelly_129,6.97,13.35,11.79,39.79,1.38,0.48,10.28,15.84,0.13
Kelly_13,10.26,12.85,4.32,42.49,2.72,0.12,18.05,8.71,0.49
Kelly_130,3.29,13.1,15.55,39.48,1.1,0.61,5.94,20.82,0.13
Kelly_131,3.62,12.31,17.48,37.97,0.86,0.79,5.4,21.45,0.13
Kelly_132,3.92,13.0,15.41,39.57,1.28,0.5,6.64,19.51,0.18
Kelly_133,2.74,12.8,19.66,37.57,0.62,0.75,4.73,20.98,0.13
Kelly_134,4.72,12.12,12.31,42.57,0.86,0.25,7.73,19.23,0.21
Kelly_135,3.45,10.71,14.15,45.33,0.88,0.28,5.64,19.4,0.16
Kelly_136,4.6,10.69,13.36,43.72,0.77,0.3,6.64,19.82,0.11
Kelly_137,5.4,11.75,12.4,42.43,0.66,0.28,6.73,20.19,0.17
Kelly_138,3.84,10.25,14.79,44.98,0.59,0.3,5.76,19.35,0.13
Kelly_139,4.41,10.14,13.99,44.8,0.79,0.38,6.19,19.16,0.13
Kelly_14,9.22,13.12,4.37,44.27,2.88,0.17,17.61,8.08,0.28
Kelly_140,4.53,10.82,13.43,44.44,0.77,0.27,7.19,18.42,0.11
Kelly_141,3.19,10.31,14.58,47.1,0.72,0.31,5.55,18.08,0.14
Kelly_142,3.57,9.61,15.3,45.86,0.57,0.35,5.41,19.2,0.13
Kelly_143,5.66,10.63,10.8,45.25,0.66,0.34,8.23,18.24,0.19
Kelly_144,4.69,10.95,13.89,45.25,0.71,0.32,6.26,17.8,0.14
Kelly_145,4.52,9.77,15.5,45.04,0.68,0.32,5.84,18.21,0.11
Kelly_146,7.21,10.56,7.43,43.49,3.11,0.16,17.1,10.81,0.12
Kelly_147,8.11,13.85,5.87,38.84,4.56,0.11,18.08,10.43,0.15
Kelly_148,6.61,9.93,8.78,46.09,1.89,0.06,13.79,12.74,0.12
Kelly_149,5.66,6.13,8.71,51.71,2.69,0.06,14.25,10.55,0.24
Kelly_15,9.88,12.46,3.68,44.08,2.64,0.07,17.76,8.91,0.52
Kelly_150,6.39,9.77,6.86,47.61,3.06,0.08,16.21,9.89,0.14
Kelly_151,5.84,9.12,8.77,48.78,2.29,0.1,14.59,10.37,0.14
Kelly_152,3.73,13.4,16.03,38.28,1.53,0.42,8.74,17.56,0.31
Kelly_153,3.53,11.43,16.94,39.48,0.96,0.52,7.82,19.07,0.23
Kelly_154,2.49,12.36,19.81,38.93,0.55,0.52,4.55,20.63,0.16
Kelly_155,3.14,12.62,19.04,38.42,0.67,0.59,5.11,20.29,0.13
Kelly_156,2.21,12.0,20.71,38.02,0.76,0.56,4.67,20.9,0.17
Kelly_157,2.73,12.41,20.2,38.76,0.6,0.55,4.62,19.92,0.21
Kelly_16,9.54,13.81,6.59,41.68,1.46,0.21,16.2,10.11,0.4
Kelly_17,8.7,11.55,4.69,45.46,3.38,0.15,18.05,7.56,0.45
Kelly_18,10.14,12.05,4.52,43.64,2.41,0.18,17.29,9.36,0.43
Kelly_19,10.96,12.77,3.59,42.69,2.45,0.19,17.34,9.52,0.51
Kelly_20,10.57,12.42,3.48,41.7,3.17,0.18,18.52,9.48,0.47
Kelly_21,9.66,17.47,3.72,36.15,3.19,0.04,21.07,8.49,0.2
Kelly_22,7.85,15.71,5.52,41.04,3.07,0.03,16.78,9.75,0.25
Kelly_23,7.63,14.2,4.47,41.58,4.71,0.03,19.01,8.12,0.24
Kelly_24,6.73,14.01,6.76,42.68,3.08,0.03,16.1,10.47,0.14
Kelly_25,7.57,15.56,5.53,42.83,2.04,0.06,15.81,10.43,0.18
Kelly_26,7.81,15.69,5.13,42.42,2.31,0.06,16.91,9.53,0.13
Kelly_27,6.85,16.54,5.99,41.73,2.28,0.03,15.29,11.07,0.21
Kelly_28,7.46,15.24,6.34,40.46,2.88,0.06,16.93,10.5,0.13
Kelly_29,9.19,16.91,4.37,37.87,2.89,0.07,19.16,9.33,0.21
Kelly_30,9.03,16.03,4.65,39.05,2.56,0.03,18.56,9.84,0.25
Kelly_31,6.94,13.32,7.79,43.68,2.07,0.08,15.06,10.95,0.13
Kelly_32,6.6,12.71,8.03,44.58,2.1,0.13,14.32,11.4,0.13
Kelly_33,7.49,15.04,6.4,42.75,1.86,0.09,15.39,10.88,0.12
Kelly_34,7.78,14.27,6.21,43.09,2.59,0.03,16.66,9.23,0.14
Kelly_35,7.66,14.94,6.46,41.77,2.52,0.03,16.74,9.77,0.09
Kelly_36,6.65,13.78,7.52,44.14,1.93,0.08,15.38,10.32,0.2
Kelly_37,6.75,14.03,8.52,43.25,1.85,0.13,14.06,11.25,0.15
Kelly_38,7.05,14.56,7.84,42.05,2.0,0.11,15.11,11.11,0.16
Kelly_39,6.94,13.01,7.84,44.03,2.12,0.05,14.93,10.94,0.15
