SampleID,Name,Litter,Pickup_t,Plot,Temp,CO2,percent_mass,percent_C,percent_N,percent_P,percent_carbs,percent_aromatics
Kelly_01,LTL_T0_None_None,LTL,T_0,None,None,None,100,53,1.16,0.109,25.07,25.55
Kelly_02,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53.4,1.28,0.108,25.07,25.55
Kelly_03,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53.3,1.33,0.113,25.07,25.55
Kelly_04,LTL_T_0_None_None,LTL,T_0,None,None,None,100,54.4,1.26,0.113,25.07,25.55
Kelly_05,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53.5,1.25,0.111,25.07,25.55
Kelly_06,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53.1,1.34,0.11,25.07,25.55
Kelly_07,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53.3,1.34,0.105,25.07,25.55
Kelly_08,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53,1.31,0.106,25.07,25.55
Kelly_09,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53,1.24,0.103,25.07,25.55
Kelly_10,LTL_T_0_None_None,LTL,T_0,None,None,None,100,53.1,1.18,0.102,25.07,25.55
Kelly_11,LTR_T_0_None_None,LTR,T_0,None,None,None,100,50.6,0.88,0.086,25.07,25.55
Kelly_12,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.7,0.88,0.094,39.31,28.17
Kelly_13,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.6,0.82,0.091,39.31,28.17
Kelly_14,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.8,0.89,0.091,39.31,28.17
Kelly_15,LTR_T_0_None_None,LTR,T_0,None,None,None,100,52.2,0.89,0.098,39.31,28.17
Kelly_16,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.5,0.81,0.093,39.31,28.17
Kelly_17,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.7,0.93,0.1,39.31,28.17
Kelly_18,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.8,1,0.101,39.31,28.17
Kelly_19,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.6,0.93,0.11,39.31,28.17
Kelly_20,LTR_T_0_None_None,LTR,T_0,None,None,None,100,51.8,0.92,0.094,39.31,28.17
Kelly_21,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.1,0.64,0.067,44.74,21.56
Kelly_22,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45,0.57,0.056,44.74,21.56
Kelly_23,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.6,0.59,0.053,44.74,21.56
Kelly_24,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.3,0.61,0.057,44.74,21.56
Kelly_25,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45,0.54,0.053,44.74,21.56
Kelly_26,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.1,0.59,0.064,44.74,21.56
Kelly_27,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.8,0.58,0.059,44.74,21.56
Kelly_28,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.4,0.61,0.059,44.74,21.56
Kelly_29,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.6,0.61,0.065,44.74,21.56
Kelly_30,ANG_T_0_None_None,ANG,T_0,None,None,None,100,45.8,0.64,0.06,44.74,21.56
Kelly_31,MAG_T_0_None_None,MAG,T_0,None,None,None,100,45.7,0.79,0.08,44.97,23.8
Kelly_32,MAG_T_0_None_None,MAG,T_0,None,None,None,100,47,0.86,0.083,44.97,23.8
Kelly_33,MAG_T_0_None_None,MAG,T_0,None,None,None,100,46.6,0.82,0.091,44.97,23.8
Kelly_34,MAG_T_0_None_None,MAG,T_0,None,None,None,100,46.8,0.9,0.104,44.97,23.8
Kelly_35,MAG_T_0_None_None,MAG,T_0,None,None,None,100,46.7,0.88,0.095,44.97,23.8
Kelly_36,MAG_T_0_None_None,MAG,T_0,None,None,None,100,46.9,0.83,0.081,44.97,23.8
Kelly_37,MAG_T_0_None_None,MAG,T_0,None,None,None,100,46.9,0.79,0.076,44.97,23.8
Kelly_38,MAG_T_0_None_None,MAG,T_0,None,None,None,100,47.4,0.89,0.081,44.97,23.8
Kelly_39,MAG_T_0_None_None,MAG,T_0,None,None,None,100,47.2,0.88,0.083,44.97,23.8
Kelly_40,MAG_T_0_None_None,MAG,T_0,None,None,None,100,47.4,0.85,0.079,44.97,23.8
Kelly_41,MAG_T_0_None_None,MAG,T_0,None,None,None,100,52.3,0.74,0.117,31.57,26
Kelly_42,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.3,0.74,0.117,31.57,26
Kelly_43,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.1,0.73,0.114,31.57,26
Kelly_44,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.2,0.72,0.113,31.57,26
Kelly_45,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.1,0.78,0.114,31.57,26
Kelly_46,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.1,0.74,0.114,31.57,26
Kelly_47,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.1,0.73,0.112,31.57,26
Kelly_48,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.2,0.73,0.115,31.57,26
Kelly_49,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52,0.73,0.116,31.57,26
Kelly_50,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.2,0.71,0.115,31.57,26
Kelly_51,SPL_T_0_None_None,SPL,T_0,None,None,None,100,52.1,0.78,0.117,31.57,26
Kelly_52,SPR_T_0_None_None,SPR,T_0,None,None,None,100,50.8,0.77,0.108,33.52,30.78
Kelly_53,SPR_T_0_None_None,SPR,T_0,None,None,None,100,51.9,0.75,0.105,33.52,30.78
Kelly_54,SPR_T_0_None_None,SPR,T_0,None,None,None,100,51.4,0.79,0.113,33.52,30.78
Kelly_55,SPR_T_0_None_None,SPR,T_0,None,None,None,100,51.1,0.76,0.117,33.52,30.78
Kelly_56,SPR_T_0_None_None,SPR,T_0,None,None,None,100,51.3,0.88,0.122,33.52,30.78
Kelly_57,SPR_T_0_None_None,SPR,T_0,None,None,None,100,51.4,0.76,0.114,33.52,30.78
Kelly_58,SPR_T_0_None_None,SPR,T_0,None,None,None,100,51.5,0.76,0.103,33.52,30.78
